pred,p0(<=50K),p1(>50K),label,age,education_num,race,sex,capital_gain,capital_loss,hours_per_week,workclass=Government,workclass=Other/Unknown,workclass=Private,workclass=Self-Employed,education=Assoc,education=Bachelors,education=Doctorate,education=HS-grad,education=Masters,education=Prof-school,education=School,education=Some-college,marital_status=Divorced,marital_status=Married,marital_status=Separated,marital_status=Single,marital_status=Widowed,occupation=Blue-Collar,occupation=Other/Unknown,occupation=Professional,occupation=Sales,occupation=Service,occupation=White-Collar
1,0.2997872829437256,0.7002127170562744,1,0.5333333611488342,0.8125,0.0,1.0,0.0,0.0,0.4040403962135315,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0,0.9858638644218445,0.014136116951704025,0,0.31111112236976624,0.5,1.0,0.0,0.0,0.0,0.4040403962135315,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0,0.9985299706459045,0.001470050890929997,0,0.20000000298023224,0.4375,1.0,0.0,0.0,0.0,0.20202019810676575,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1,0.03854691982269287,0.9614530801773071,1,0.6666666865348816,0.8125,1.0,1.0,0.04386043921113014,0.0,0.8484848737716675,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1,0.4066867232322693,0.5933132767677307,0,0.4000000059604645,0.875,0.0,1.0,0.0,0.0,0.4040403962135315,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1,0.2827470898628235,0.7172529101371765,0,0.46666666865348816,0.8125,1.0,1.0,0.0,0.0,0.4040403962135315,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0,0.8040018081665039,0.1959981918334961,0,0.3888888955116272,0.5625,1.0,1.0,0.0,0.0,0.4040403962135315,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0,0.9962494969367981,0.0037505198270082474,0,0.24444444477558136,0.625,0.0,1.0,0.0,0.0,0.35353535413742065,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0,0.9079532623291016,0.09204676747322083,0,0.4888888895511627,0.875,1.0,0.0,0.0,0.0,0.4040403962135315,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1,0.34712356328964233,0.6528764367103577,1,0.3222222328186035,0.625,1.0,1.0,0.0,0.34090909361839294,0.4040403962135315,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
